114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №2;-;4;16:50 - 19:40;15;;16:55;;19:40;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сад №2;-;5;19:50 - 21:55;20;;19:55;;21:55;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;"""""""""""""""Сады """"""""""""""""Юматово""""""""""""""""""""""""""""""";-;2;07:55 - 10:15;15;;07:58;;10:13;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;"""""""""""""""Сады """"""""""""""""Юматово""""""""""""""""""""""""""""""";-;3;10:25 - 16:40;20;;10:28;;16:38;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;"""""""""""""""Сады """"""""""""""""Юматово""""""""""""""""""""""""""""""";-;4;16:55 - 19:45;15;;16:58;;19:43;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;"""""""""""""""Сады """"""""""""""""Юматово""""""""""""""""""""""""""""""";-;5;19:55 - 22:00;20;;19:58;;21:58;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сан. Юматово;-;2;07:55 - 10:15;15;;07:59;;10:14;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сан. Юматово;-;3;10:25 - 16:40;20;;10:29;;16:39;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сан. Юматово;-;4;16:55 - 19:45;15;;16:59;;19:44;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Сан. Юматово;-;5;19:55 - 22:00;20;;19:59;;21:59;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;поворот Юматово;-;2;08:05 - 10:25;15;;08:06;;10:21;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;поворот Юматово;-;3;10:35 - 16:50;20;;10:36;;16:46;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;поворот Юматово;-;4;17:05 - 19:55;15;;17:06;;19:51;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;поворот Юматово;-;5;20:05 - 22:10;20;;20:06;;22:06;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Санаторий Алкино;-;2;08:05 - 10:25;15;;08:08;;10:23;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Санаторий Алкино;-;3;10:35 - 16:50;20;;10:38;;16:48;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Санаторий Алкино;-;4;17:05 - 19:55;15;;17:08;;19:53;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Санаторий Алкино;-;5;20:05 - 22:10;20;;20:08;;22:08;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Новомихайловка;-;2;08:10 - 10:30;15;;08:13;;10:28;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Новомихайловка;-;3;10:40 - 16:55;20;;10:43;;16:53;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Новомихайловка;-;4;17:10 - 20:00;15;;17:13;;19:58;
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Новомихайловка;-;5;20:10 - 22:15;20;;20:13;;22:13;
